ONSHORE_STATE_ABBREVIATION,name,PRPTY
AK,Alaska,49.0
AL,Alabama,79.6
AR,Arkansas,100.4
AZ,Arizona,0.0
CA,California,221.6
CO,Colorado,8.0
CT,Connecticut,2.2
DE,Delaware,0.0
FL,Florida,9.2
GA,Georgia,3.1
HI,Hawaii,3.5
IA,Iowa,19.6
ID,Idaho,4.4
IL,Illinois,138.7
IN,Indiana,50.2
KS,Kansas,25.5
KY,Kentucky,3.5
LA,Louisiana,154.4
MA,Massachusetts,0.5
MD,Maryland,3.1
ME,Maine,0.0
MI,Michigan,885.2
MN,Minnesota,18.6
MO,Missouri,31.9
MS,Mississippi,19.8
MT,Montana,149.3
NC,North Carolina,80.3
ND,North Dakota,91.7
NE,Nebraska,14.7
NH,New Hampshire,0.0
NJ,New Jersey,17.6
NM,New Mexico,27.2
NV,Nevada,0.0
NY,New York,8.2
OH,Ohio,40.6
OK,Oklahoma,96.3
OR,Oregon,1.3
PA,Pennsylvania,31.4
PR,Puerto Rico,0.5
RI,Rhode Island,0.0
SC,South Carolina,9.9
SD,South Dakota,54.8
TN,Tennessee,14.1
TX,Texas,398.9
UT,Utah,75.1
VA,Virginia,20.1
VT,Vermont,0.0
WA,Washington,3.2
WI,Wisconsin,47.8
WV,West Virginia,12.8
WY,Wyoming,13.8
