ONSHORE_STATE_ABBREVIATION,name,UNINTENTIONAL_RELEASE_BBLS
AK,Alaska,2924.44
AL,Alabama,13537.38
AR,Arkansas,13943.65
CA,California,17220.97
CO,Colorado,14343.64
CT,Connecticut,600.95
FL,Florida,1418.7
GA,Georgia,3338.24
HI,Hawaii,1404.1
IA,Iowa,7098.92
ID,Idaho,442.91
IL,Illinois,49801.65
IN,Indiana,6994.75
KS,Kansas,28270.83
KY,Kentucky,396.59
LA,Louisiana,72675.08
MA,Massachusetts,11.6
MD,Maryland,452.6
ME,Maine,2.42
MI,Michigan,33128.47
MN,Minnesota,6986.3
MO,Missouri,7481.34
MS,Mississippi,53416.39
MT,Montana,6920.36
NC,North Carolina,29430
ND,North Dakota,52537.48
NE,Nebraska,6193.09
NJ,New Jersey,2319.92
NM,New Mexico,25490.41
NV,Nevada,5.75
NY,New York,4189.93
OH,Ohio,3642.23
OK,Oklahoma,67594.63
OR,Oregon,75.1
PA,Pennsylvania,13393.41
PR,Puerto Rico,66
SC,South Carolina,11105.45
SD,South Dakota,7537.08
TN,Tennessee,563.4
TX,Texas,392602.86
UT,Utah,1843.3
VA,Virginia,197.06
WA,Washington,193.19
WI,Wisconsin,3527.66
WV,West Virginia,44643.69
WY,Wyoming,15055.22
AZ,Arizona,0
VT,Vermont,0
NH,New Hampshire,0
RI,Rhode Island,0
DE,Delaware,0
